recipeName	ingredients
꽃게바지락찌개	꽃게 바지락 조선무 깐양파 애호박 두절콩나물 국멸치 건다시마 깐대파 국간장 고춧가루 된장 고추장 물
낙지묵은지콩나물국	낙지 묵은지 콩나물 무 대파 마늘 국멸치 대두유 간장 쌀뜨물 고춧가루
마들깨미역국	건미역 마 깐들깨가루 건다시마 참기름 마늘 물
바지락가자미완탕국	가자미살 두부 양파 대파 후추 전분 바지락 무우 마늘 쑥갓 청홍고추 팽이버섯 물
바지락맑은국	바지락 팽이버섯 홍고추 쑥갓 육수 다시마 청양고추 무 대파 물
감자미역국	건미역 감자 참기름 국간장 물
새뱅이찌개	물 다시마 양파 새뱅이 밀가루 호박 무 청양고추 파 마늘 쑥갓 고춧가루 고추장 간장
배추된장국	배추 두부 양파 대파 다시멸치 청양고추 생강즙 된장 쌀뜨물 물
콜리플라워미역국	콜리플라워 건미역 육수 물 디포리 양파 무 양념 저염간장 건표고버섯 건새우 물
새우살토마토스튜	새우살 토마토 양파 당근 애호박 건다시마 버터 케찹 후추 물
한우굴라쉬	쇠고기 등심 양파 감자 파프리카 토마토 마늘 밀가루 토마토페이스트 케첩 버터 올리브유 월계수잎 후추 물
황태미역국	건미역 황태 육수 황태머리 다시마 표고버섯 대파 물 양념 참기름 저염국간장
견과류문어떡갈비	돈민찌 우민찌 떡 문어 배 호두 아몬드 찹쌀가루 참기름 후추 밀가루 식용유 대추 잣
과일퓨레수제함박스테이크	쇠고기우둔 돼지고기전지 도라지 사과 배 깐연근 토마토 깐양파 양송이버섯 당근 청피망 달걀 빵가루 파인애플 방울토마토 버터 밀가루 레몬 후추 생강
단호박함박스테이크	돼지고기 소고기 단호박 양파 마늘 당근 계란 빵가루 우유 콩기름 후추 올리고당
담양식떡갈비야채쌈	우육분쇄육 돈육분쇄육 두부 양파 대파 상추 깻잎 해바라기씨 간장 설탕 쌈장
된장숙성저수분수육	앞다리살 돈육보쌈용 양파 대파 저염된장 통후추 월계수잎 생강가루
과일삼겹살조림파채무침	돼지고기삼겹살 새싹채소 깐대파 파인애플 배 사과 깐양파 진간장 깐마늘 깐생강 고춧가루 레몬 식초 설탕 국간장
미나리버섯고기말이산채소스	돈등심 새송이버섯 미나리 후추 찹쌀가루 참나물 취나물 올리브오일 땅콩 파마산치즈 마늘
구기자듬장조림	한돈사태 메추리 당근 곤약 구기자 양파 파 다시마 마늘 표고버섯 저염간장
매실입은가지닭볶음탕	닭고기 가지 매실엑기스 파 마늘 대두유 간장 식초 미림 올리고당 참기름
시래기닭조림	닭고기 무 당근 양파 홍고추 청고추 무청시래기삶은 것 양념 후추 저염간장 설탕 물엿
닭가슴살호두크로켓	닭가슴살 두부 양파 대파 호두 땅콩 마늘 생강 후추 설탕 식초 계란 쌀가루 빵가루 순무 두유 홀그레인 땅콩버터 레몬 파슬리
두부튀김무소스	두부 계란 깻잎 옥수수전분 식용유 혼다랑어가쓰오부시 무 레몬쥬스 배 양조식초 저염간장 미향 설탕
록달록연근튀김	깐연근 비트 시금치 카레가루 건새우 전분 튀김가루 식물성기름
오징어튀김딸기쨈	오징어 밀가루 물 계란 후추 식용유 딸기쨈
잎채소튀김	깻잎 상추 배추 계란 튀김가루 콩기름 얼음
검은콩부추전	검정콩서리태 밀가루 부침가루 홍고추 풋고추 당근 부추 깐양파 애호박 달걀 콩기름 국간장
고사리파전단감전	고사리 쪽파 홍고추 계란 밀가루 단감 물 찹쌀가루 감자전분 대추
바지락매생이전	매생이 바지락살 부침가루 튀김가루 홍고추 대두유
콩달콩전	병아리콩 검정콩 완두콩 두부 빨간 파프리카 찹쌀가루 밀가루 물 식용유
계란만두토마토소스	가지 당면 계란 부추 양파 식용유 토마토홀 월계수잎 파슬리 마늘 함초소금 후추
통도라지양념구이	통도라지 배 골파 통깨 고추장 간장 참기름 쓴맛 제거용
삼색계란찜	계란 시금치 비트 우유 애플민트 다시마
단호박떡볶이	떡볶이떡 단호박 브로콜리 우유 생크림 검정깨
포두부채소잡채	포두부 참느타리버섯 양파 게맛살 청피망 홍피망 파 생강 식용유 양념 설탕 노두유
낙지듬초말이	낙지 가지 오이 표고버섯 당근 미나리 홍고추 설탕 식초 물  사과 간장 고춧가루 깨
무오색쌈	쌈무 쇠고기 달걀 당근 표고버섯 오이 연겨자 진간장 식초 참기름 깐마늘 설탕 통깨
흑마늘견과류조림	통마늘 마카다미아 호두 아몬드 캐슈넛 땅콩 대두유 흑마늘진액 간장 물엿 깨
통배추 겉절이	통배추 쪽파 마늘 생강 양념 홍시 고춧가루 젓갈 통깨 참기름
저염보쌈김치	배추 배 대추슬라이스 깐밤 당근 저염양념 조선무 미나리 깐양파 파프리카 황설탕 잣 깐마늘 깐생강 멸치액젓 고춧가루 굵은소금 건표고버섯 국멸치 물
청경채 김치	청경채 배 양념장 매실액 고춧가루 저염간장 양념 찹쌀가루
요거트강화순무김치	순무 쪽파 고운 고춧가루 굵은 고춧가루 플레인요거트
오미자저염나박김치	배추 콜라비 오이 당근 실파 청홍고추 레몬 오미자엑기스 식초 설탕 물
배물김치	배 미나리 청홍고추 감자 설탕 마늘 생강 물
성주참외동치미	참외 양파 배 대파 마늘 홍고추 생강 식초 설탕 누룩소금 물
달콤과일깍두기	무 배 참외 마늘 새우젓 생강 실파 양념 고춧가루 통깨
배깍두기	배 부추 고춧가루 매실청 설탕 참깨
곤약백김치말이	판곤약 부추 파프리카빨강 청색 대왕오징어채 백김치 양조식초
단감피클	단감 식초 설탕 물
스마일오이피클	오이 배 홍피망 청피망 노랑파프리카 식초 설탕 물 피클링스파이스
오이파프리카새콤무침	오이 파프리카빨강노랑 식초 설탕
감귤콩샐러드	감귤 완두콩 수수 율무 병아리콩 유자청 치커리 올리브오일
누룽지상추샐러드유자드레싱	누룽지 로메인상추 파프리카빨간색노란색 유자청 식용유 올리브유 레몬즙 식초 후추
양상추샐러드 과일드레싱	양상추 당근 적양배추 치커리 소스 사과 파인애플 레몬즙
포항초사과샐러드	포항초 사과 당근 양파 파프리카 레몬즙또는 식초 저염간장 설탕
고구마순들깨나물	고구마순 들깨가루 다시마 참기름
시금치들깨무침	시금치 파 마늘 들깨가루 통깨 들기름 데치는용
시금치토마토무침	시금치 방울토마토 참기름 참깨 마늘 함초가루
바나나미숫가루쉐이크	미숫가루 바나나 우유
홍시잼 식빵	반죽 강력분 인스턴트 이스트 달걀 우유 포도씨유 속 홍시 레몬즙
배쨈 식빵	반죽 강력분 인스턴트 이스트 달걀 우유 포도씨유 속 배 전분물 토핑 배
사과 견과류 식빵	반죽 강력분 드라이이스트 버터 달걀 우유 속 사과 견과류
카카오 깜빠뉴	반죽 강력분 코코아 버터 생이스트 드라이이스트레드 파트 페레멘테 우유 물 속 카카오 닙스 호두 건포도
단호박 호밀빵	반죽 통밀가루 강력분 전립분 드라이이스트 물 베이킹파우더 속 단호박 참깨
바질향이 향긋한 고구마 찰 바케트	반죽 강력분 생이스트 물 바게트반죽용 파인소프트 파인소프트 C 강력분 분유 아몬드 분말 드라이 이스트골드 무염버터 달걀 물 찰반죽용 속 크림치즈 바질 페스토 노른자 고구마 다이스
곶감 베이글	반죽 통밀가루 강력밀가루 인스턴트 드라이 이스트 사과종 물 카놀라유 레몬 제스트 곶감
단호박크림을 곁들인 브로콜리 베이글	반죽 강력분 물 블루베리 발효원종 올리브유 브로콜리 속 단호박 생크림
미숫가루 스콘	버터 박력분 강력분 미숫가루 베이킹파우더 우유 달걀 건크랜베리 호두
견과류 미숫가루 빵	반죽 강력분 박력분 미숫가루 이스트 달걀 버터 아몬드 해바라기씨 호박씨 건포도 아몬드우유 아몬드 우유 토핑 버터 아몬드 슬라이스 미숫가루
속이 든든든한 밥 빵	반죽 강력 쌀가루 불린밥 물 이스트 코코넛 오일 속 단호박 옥수수
삼각김밥 빵	반죽 쌀가루 우유 물 르뱅 발효종 달걀 올리브유 양파 당근 먹물 가루 속 토마토 양파 피망 마늘 닭가슴살 오레가노 바질가루 월계수잎 후추 소금 고추 고춧가루짜렐라 치즈
고구마 찰 빵	반죽 쌀가루 타피오카 전분 비트가루 물 르뱅 발효종 올리브유 속 고구마 생크림 김치 양파 기름
고구마 공갈빵	반죽 강력분 이스트 버터 물 속 고구마 우유
검은콩 크림빵	반죽강력분 물 이스트 호밀가루 검은콩가루 올리브유 호두 크랜베리 속 불린 검은콩 우유 달걀
시금치크림치즈 빵	반죽 통밀가루 강력분 인스턴트 드라이 이스트 사과종 물 달걀 올리브유 시금치 소량 말린 방울토마토 속 시금치 마늘 볶음 참깨 올리브유 소량 후추 소량 크림치즈
자색고구마 버터크림 빵	반죽 강력분 박력분 이스트 달걀 무염버터 바나나 밤고구마 물 속 삶은 밤고구마 바나나 바나나슬라이스 버터크림 삶은 자색고구마 삶은 밤고구마 박력분 달걀 버터 물
콩가루 소보로	반죽 강력분 날콩가루 따뜻한 우유 이스트 달걀 코코넛 오일 비스킷 박력 쌀가루 볶은 콩가루 베이킹파우더 달걀 버터 속 고구마 우유 크랜베리 아몬드
삼색 브레드 스틱	강력분 드라이이스트 버터 식용유 당근 참나물 연근 견과류 물
치아바타 피자빵	반죽 블루베리 발효원종 강력분 물 소스 토마토 양송이 버섯 양파 파프리카 로즈마리 식용유 물 토핑 저염치즈
찹쌀 흰살 생선찜	배추 대파 가자미 찹쌀가루 식초 맛술 새우젓 마늘 파 월계수잎 불린 찹쌀 고운 고춧가루 백후추 잘게 새우젓
새우게살 파프리카롤	크래비 냉동 새우살 파프리카빨강 각각 냉동 아보카도 절임 올리브그린 블랙 파 마늘 간 파르메산치즈 홀그레인 머스터드 요플레 올리고당
두부 새우볼	두부 냉동 새우살 양파 새송이버섯 생강가루 파슬리가루 식용유 버터 밀가루 우유
코코넛워터 토마토카레	양파 감자 당근 닭가슴살 토마토 코코넛워터 우유 현미밥 올리브유 카레가루 물 그릭요거트 올리브유 올리고당 마늘 카레가루 파슬리가루
깻잎퓌레를 곁들인 삼치새우	깻잎 청경채단 새우 삼치 생크림 식용 꽃 삶은 감자 녹인 무염 버터 우유 레몬즙 건로즈메리 찹쌀가루 전분 올리브유 설탕 식용유
크림카레소스를 곁들인 함초두부스테이크	양파 당근 양송이버섯 불린 함초 으깬 두부 닭가슴살 달걀 빵가루 밀가루 버터 우유 강황가루 함초소금 마늘 저염 간장 식용유
메밀면 샐러드	양상추 당근 방울토마토 닭가슴살 메밀면 어린잎채소 식초 간장 올리브유 마늘 올리고당 유자청
애호박 순대	두부 생새우 팽이버섯 당근 깻잎 파프리카 소고기 감자전분 달걀흰자 애호박 저염 간장 식초 적양파
치즈 두부 튀김	고구마 호두 우유 두부 빵가루 차렐라치즈 식용유
곤약 가스	냉동 곤약 채 썬 양파 납작 썬 마늘 채소 육수 아몬드 땅콩 통밀가루 미림 간장 간 마늘 토마토 페이스트 간장 설탕 발사믹식초 식용유
비트 단호박 파스타	삶은 스파게티 감자 파르메산 치즈가루 어린잎채소 비트 올리브유 스리라차소스 마늘 미니 단호박 생크림 설탕
닭고기 찰깨빵	방울토마토 양파 파프리카 할라피뇨 훈제 닭가슴살 찰깨빵 차렐라치즈 파슬리가루 설탕 레몬즙
들깨 삼계면	삼계탕용 닭 우유 삼계탕 티백 메밀면 깻잎 바질 삼계탕 육수 사과식초 홍고추 사과개 삼계탕 육수 들깻가루
참나물 소보로덮밥	건취나물 건표고버섯 불린 쌀 불린 곤약쌀 돼지고기 달걀 참나물 간장 참기름 식용유
두유 크림 현미리소토	손질된 고등어 양파 마늘 양송이버섯 청양고추 깻잎 불린 현미 검은콩 두유 달걀노른자 다시마 간장 레몬즙
돼지 함초 덮밥	양파 쪽파 레몬 무순 멸치 건함초 다시마 밥 꽈리고추 돼지고기등심 수란 김가루 고추냉이 마늘 생강톨 건고추 팔각 참기름 식용유
생선 파피요트	양파개 파프리카개 레몬 방울토마토 손질된 흰살생선마리 대하 바지락 월계수잎 타임줄기 화이트와인 올리브유
어묵 잡채	돼지고기 어묵 아삭이고추 파프리카 파프리카 콩나물 굴소스 참기름
토마토 비빔국수	양파 바질 삶은 달걀 쌀국수 토마토 고추장 고춧가루 꿀
멸치 전복 저염국수	전복 애호박 표고버섯 당근 달걀지단흰자 노른자 각각 삶은 쌀소면 식용유 멸치 황태포 다시마 대파 양파 통후추 고춧가루 저염 간장 식초 파 마늘 참기름
오이 소르베	오이 셀러리 줄기 요거트 과일 라임즙 아가베 시럽
참외지 리코타버무리	참외 아몬드 설탕 레몬즙 올리브유 유자청 리코타치즈
과일 피클 젤리	방울토마토 바나나 청포도 젤라틴 한천가루 피클링 스파이스 사과식초 설탕 올리고당
바나나 쑥두부푸딩	흰강낭콩 두부 우유 올리고당 바나나 쑥 파우더 아몬드
채소말이와 고구마가지구이	가지개 양배추 파프리카 당근 청경채단 달걀지단 분량 구운 김 불린 라이스페이퍼 깻잎 찐 고구마 우유 무염 버터 마늘 무염 치즈 생크림 식용 꽃노란색 파슬리가루 식용유
들깨 곤약 냉채	닭가슴살 파프리카 양파 오이 당근 곤약면 어린잎채소 겨잣가루 식초 올리고당 들깻가루 저염 간장
병아리콩 케이크	불린 병아리콩 바나나개 무가당 코코아 파우더 다크초콜릿 아몬드가루 달걀노른자 우유 식용유 아몬드 슬라이스 병아리콩 삶은 물 무가당 휘핑크림 올리고당 바나나개
요거트 단호박 샐러드	단호박 감자 표고버섯 불린 곤드레나물 불린 쌀 건포도 건무화과 볶은 호두 볶은 아몬드 슬라이스 라즈베리 요거트
리코타치즈 카프레제	방울토마토 우유 레몬즙 발사믹식초 레몬즙 올리브유
연두부 카프레제	깻잎 양파 방울토마토 연두부 두부 마늘 치즈 간장 올리브유 참기름
연두부 토마토	연두부 방울토마토 스트링치즈 어린잎채소 발사믹식초 사과 사과주스 플레인 요거트
포니언 스프	감자 양파 우유 시판 크루통 파슬리가루 양념 버터
참나물무말이 물김치	참나물 무 레몬 설탕 사과식초 물 사과식초 마늘 홍고추 사과개
양배추말이 김치	양배추 시금치 오이 당근 고춧가루 간장 사과식초 사과즙
토마토채소스프와 연어소바찜	토마토 무 당근 마늘 양파 연어 메밀면 월계수잎
치즈 단호박	단호박 달걀 맛술 우유 차렐라치즈 그라나파다노치즈 아몬드 플레이크 꿀 파슬리가루
참나물페스토 파스타	참나물 방울토마토 스파게티면 참나물 페스토 참나물 잣 올리브유 양념 올리브유
가지 탕수육	돼지고기 두부 아삭이고추 가지 식용유 간장 올리고당 식초 전분 튀김가루
콩국물소스를 곁들인 게살 냉채	게살 수박 가지 적채 브로콜리 두부 우유 꿀 올리브유
소고기육전과 전복내장소스	부챗살 쪽파 홍고추 익힌 전복내장 건새우 밀가루 달걀물 생강 저염 간장 맛술 식초 참기름 식용유
두부크림 관자뇨키	양파 관자 새우 시조개 청양고추 두부 우유 생크림 마늘 바질 그라나파다노 치즈
들깨삼겹살과 참외쌈장	삼겹살 참외중간 크기 영양부추 들깻가루 마늘 통후추 저염 된장 양파 마늘 참깨 참기름 청고추 홍고추 고춧가루 파 들깻가루 사과즙 견과류
단호박 양고기볶음	콜리플라워 고구마 양파 양고기부채살 마늘 단호박 올리브유 바질럽드 바질페스토 홀그레인 머스터드 마늘
강황 투움바 파스타	양파 양송이버섯 마늘 토마토 탈리아텔레 말린 토마토 파슬리 핑크 페퍼 바질잎 바게트 물 무 양파 다시마 올리브유 강황가루 고운 고춧가루 식물성 생크림 두유
돼지고기 포두부 파스타	양파개 마늘 대파대 돼지고기 두부면팩 새우¾ 닭육수 청양고추 고추장 식초 올리브유 고춧가루
카레삼겹살 파니니	방울토마토 아보카도 로메인 양파개 대파 미나리줌 마늘 대패삼겹살 치아바타 올리브유 간장 꿀 카레가루 고운 고춧가루 플레인 요거트 꿀
방아잎 닭고기말이	아스파라거스 닭다릿살 방울토마토 방아잎줌 파르메산 치즈 레몬즙 맛간장 잣 마늘 올리브유 간장 물 사과개 양파개 마늘 대파대 플레인 요거트 레몬즙 무가당 아보카도 마요네즈 파르메산 치즈 스테이크 시즈닝 파슬리가루
라이스페이퍼 수제소시지	돼지고기 사각 라이스페이퍼 새우젓 저염 간장 버섯가루 스테비아 찹쌀가루 훈제 파프리카파우더 카옌 페퍼 커민 양파 마늘
레몬등갈비구이	등갈비 마늘 레몬 밑간 소주 로즈메리 올리브유 디핑소스 요거트 꿀 레몬즙
단호박 라타투이	가지 주키니호박개 토마토개 단호박 훈제 오리 마늘 양파 토마토 파프리카 올리브유
버터치킨카레	양파 당근개 토마토 닭고기가슴살 다릿살 생크림 파프리카빨강 바게트 월계수잎 통후추 정향 요거트 가람마살라 코리앤더파우더 커민파우더 마늘 파프리카가루 버터
해조비빔국수	오이개 양파개 파프리카빨강 도토리묵 해조국수팩 스테비아 식초 간장 스리라차소스 매실청 마늘 참깨
레몬연어 파피요트	브로콜리개 애호박개 레몬개 양파개 파프리카개 방울토마토 마늘 연어 필레 로즈메리줄기 올리브유 레몬즙 올리브유 양파
소고기찜과 검은콩수제비	팽이버섯봉 느타리버섯줌 배추개 쪽파대 가지개 당근개 흰다리새우 관자 삶은 검은콩 소고기불고기용 부채살 숙주줌 달걀노른자 쑥갓줌 미니 단호박개 생표고버섯 청경채 통밀가루 돼지감자가루 현미쌀가루 저염 간장 맛술 꿀 레몬즙 쪽파 청양고추
꽈리고추 닭강정	꽈리고추줌 양파개 건고추 마늘 대파대 닭다릿살 백후춧가루 식용유 참깨 전분 달걀흰자 굴소스 올리고당 마늘 생강가루
골뱅이무침과 삼겹살수육	삼겹살 파채 월계수잎 맛술 설탕 고춧가루 간장 고추장 마늘 레몬즙 골뱅이 국물
닭봉 로제스튜	양파 마늘 감자 파프리카빨강 당근개 브로콜리개 닭봉 통조림 홀토마토캔 생크림 파르메산 치즈가루 월계수잎 올리브유 화이트와인 강황 코리앤더가루 커민 레드크러쉬드 페퍼 바질가루 오레가노가루 버터
치즈토마토 가지구이	새송이버섯 양파개 토마토 가지 돼지고기목살 슈레드 차렐라치즈 올리브유 마늘 쌈장 파프리카가루 바질잎
새우 카레 빠에야	양파개 토마토 새우 쌀 카레가루 황태 머리 다시마 마늘 파슬리가루
버섯초계탕	닭 양파 대파대 미나리줌 새송이버섯 팽이버섯봉 마늘 양송이버섯 달걀 전분 간장
수제새우소시지	양파개 칵테일새우 라이스페이퍼 깻잎 감자전분 레몬즙 마늘 올리브유 마늘 올리고당 파슬리가루
채소롤초밥	가지 오이 밥 다시마가루 매실식초 참기름 참깨
어린잎채소 건두부말이	어린잎채소 견과류 건두부 슈레드 차렐라치즈 라임청 올리브유 마늘
당근새우 카나페	칵테일새우 사과개 양파개 당근개 바게트조각 파슬리 블루베리 애플민트잎 당근개 양파개 레몬개 레몬즙 식초 올리브유
닭가슴살 채소쌈	양상추 양파개 토마토중간 크기 청양고추 할라피뇨 피클 닭가슴살 단호박 라이스페이퍼 플레인 요거트 마늘 대파대 카레가루
시금치 후무스	대파 시금치줌 불린 병아리콩 우유 올리브유 천일염 라임즙 백후춧가루 넛맥가루
타이거새우 현미볶음밥	브로콜리개 양파개 파프리카빨강 쪽파대 블랙타이거새우 현미밥공기 청양고추 레몬개 마늘 버터
사과채소타코	양상추 사과개 토르티야 슈레드 차렐라치즈 양파개 파프리카개 토마토개 할라피뇨 피클 스리라차 소스 스테비아 아보카도개 살사소스 라임즙 무가당 플레인 요거트 마요네즈 마늘 파슬리가루 라임즙
묵은지 밀푀유나베	묵은지포기 배추 깻잎 소고기샤브샤브용 콩나물줌 북어채줌
카레크림 두부면 파스타	콜리플라워 양송이버섯 양파개 마늘 무가당 두유 두부면팩 바질 올리브유 마늘 강황가루 식초 파슬리가루
아보카도 수란샐러드	상추 레몬개 아보카도 토마토 달걀 파프리카빨강 식초 바질가루 오레가노가루 올리브유 레몬즙
참치두부 주먹밥	두부 파프리카빨강 깻잎 잡곡밥 통조림 참치 스테비아 간장 참기름
양파토마토스튜	마늘 토마토 양파 월계수잎 육수용 멸치 다시마
토마토소스 애호박냉파스타	토마토 참외 오이 양파개 마늘 애호박 바질잎 블랙올리브 파우더 레몬즙 올리브유 페페론치노 저염 간장 식초 꿀
황금팽이 비빔국수	황금팽이버섯 양파 상추 깻잎 오이개 천도복숭아개 새우살 게살 고춧가루 물 현미식초 저염 간장 마늘 참기름 참깨
맛살 미역줄기전	미역 줄기팩 양파개 맛살 건새우 부침가루 튀김가루 탄산수 아보카도유
단호박 양파잼 샌드위치	양파 미니 단호박 삶은 달걀 우유 식빵 슬라이스 체더치즈 말린 자두 청상추 아몬드 슬라이스 화이트와인 꿀
해산물샐러드와 미나리소스	새송이버섯 방울토마토 오징어 칵테일새우 마늘 올리브유 레몬즙 미나리 깻잎 마늘 올리브유 체더치즈 아몬드
매운요거트 토마토샐러드	토마토 양파개 감자개 파프리카개 브로콜리개 새우 고추기름 마늘 플레인 요거트 고추장
새우채소 김치롤	김치포기 오이 파프리카노랑 깻잎 새우 달걀물 분량 무순줌 크래미줄 식용유
생선까스타르타르소스	명태포 튀김가루 달걀 식용유 물 밑간 레몬즙 타르타르 소스 삶은 달걀 마요네즈 홍고추 청양고추 양파 후추 레몬즙
느타리버섯볶음	느타리버섯 파프리카빨간색 노란색 청피망 크래미 식용유 양념 후추 간장
떡꼬치구이	떡볶이떡 파 양파 식용유 양념장 케첩 스리라차 올리고당 간장 참기름 통깨
오징어 가라아게칠리소스	오징어 대파 마늘 달걀노른자 밀가루 식용유 양념 토마토 고춧가루 식초 설탕 전분
떡순이 두부쌈	누들 떡볶이 떡 소고기 양지 어묵 양배추 떡볶이양념파우더 쌈두부 부추 파프리카빨간색 노란색 식용유 물
토마토 해물누룽지탕	배추 우목심 깻잎 청경채 팽이버섯 표고버섯 숙주 오징어 새우 홍합 베트남 건고추 토마토 청양고추 양파 대파흰 부분 편 마늘 시판 누룽지 토마토 페이스트 식용유 간장 고춧가루 후추 다시팩 물
채소 프리타타	소고기 단호박 팽이버섯 새송이버섯 느타리버섯 쌈추 적근대 배추 숙주 달걀 우유 식용유 새싹채소 리코타 치즈 올리브유
깻잎 쌈두부 라자냐	쌈두부 소고기 양지 숙주 청경채 배추 당면 쌈두부팩 차렐라 치즈 깻잎 완숙 토마토 양파 소고기 다짐육 화이트 와인 오레가노 월계수 잎 마늘 식용유 후추
해산물 완자볼을 곁들인 양장피 콩국수	새우 오징어 양장피 면 건목이버섯 참기름 양파 볶음 소스 크레미 당근 피망 붉은 파프리카 달걀지단 콩국물 딜 올리브유 달걀흰자 식용유
토마토 채소 가지롤	순두부 팽이버섯 애호박 양파 파 청양고추 느타리버섯 마늘 차돌박이 토마토 가지 올리브유 레몬즙 후추
두부샐러드 메밀김밥	메밀면생면 오이 양파 당근 족발 달걀지단 양배추 사과 깻잎 리코타 치즈 연두부 레몬청 과육 참기름 간장 김
고등어 라따뚜이 파스타	고등어 시래기 무 대파 청양고추 양념장 토마토 홀 가지 애호박 표고버섯 두부면 가다랑어포 바질 잎 식용유 물
미옹 카레	커리 소스 홍새우 튀김 컬리플라워 감자튀김 감자 불린 미역 마른 미역 양파 식용유 물
밀푀유 채소 웰링턴	배추 소고기 숙주 청경채 표고버섯 새송이버섯 백목이버섯 다시마 깻잎 두부 머스타드 마늘 양파 토마토 우유 들깨가루 올리브유 간장 로즈메리잎 후추 전분 물
